					2018-08-07
Result of analyse of data: 1647096 values with 16237 bad values (1.0%) (taken out)
Delta T: 4
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1991	11	11	22	2	6	8	8	10	18	6	9	15
1992	8	8	16	10	9	19	6	11	17	7	7	14
1993	9	14	23	8	5	13	6	12	18	3	10	13
1994	8	8	16	6	8	14	7	12	19	5	8	13
1995	18	13	31	14	10	24	4	8	12	6	9	15
1996	9	6	15	8	7	15	5	10	15	12	11	23
1997	13	9	22	8	13	21	6	12	18	5	9	14
1998	8	9	17	13	9	22	6	12	18	6	8	14
1999	17	16	33	4	11	15	5	14	19	10	8	18
2000	9	8	17	12	13	25	8	15	23	12	11	23
2001	9	11	20	8	10	18	11	8	19	9	11	20
2002	12	7	19	8	9	17	7	13	20	12	12	24
2003	12	12	24	8	11	19	8	17	25	8	9	17
2004	12	8	20	7	8	15	9	13	22	8	10	18
2005	8	8	16	10	8	18	5	8	13	2	4	6
2006	5	7	12	10	13	23	5	10	15	5	8	13
2007	10	12	22	6	9	15	6	16	22	6	9	15
2008	11	9	20	10	14	24	6	10	16	6	8	14
2009	14	8	22	9	12	21	9	12	21	7	9	16
2010	14	11	25	3	7	10	5	11	16	6	11	17
2011	9	8	17	7	9	16	4	11	15	5	6	11
2012	15	11	26	11	9	20	7	10	17	9	10	19
2013	13	7	20	9	8	17	4	12	16	8	16	24
2014	14	8	22	3	7	10	6	13	19	5	6	11
2015	14	10	24	7	11	18	5	12	17	7	7	14
2016	7	8	15	10	12	22	6	10	16	7	11	18
2017	13	14	27	10	10	20	6	12	18	7	12	19
2018	10	8	18	6	4	10	0	0	0	0	0	0
Delta T: 8
Year	Winter			Spring			Summer			Autumn
	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total	Pos.	Neg.	Total
1986	3	2	5	0	0	0	0	0	0	4	5	9
1987	5	8	13	5	4	9	14	17	31	6	10	16
1988	8	7	15	0	9	9	10	14	24	5	7	12
1989	6	6	12	7	10	17	4	9	13	5	7	12
1990	6	11	17	2	5	7	4	11	15	5	4	9
1991	9	9	18	2	6	8	4	9	13	6	6	12
1992	5	5	10	6	8	14	3	10	13	5	4	9
